river,site,trial,ffg,count
RCLS,8,2,CG/PR,1.389
RCLS,8,2,CG/SC,1.389
RCLS,8,2,PI,1.389
RCLS,8,2,PR,4.167
RCLS,8,2,SC,1.389
RCLS,8,2,SH,11.111
RCLS,8,2,UN,9.722
RCLS,8,3,CF,12.5
RCLS,8,3,CG,26.389
RCLS,8,3,CG/PR,0
RCLS,8,3,CG/SC,0
RCLS,8,3,PI,0
RCLS,8,3,PR,4.167
RCLS,8,3,SC,9.722
RCLS,8,3,SH,1.389
RCLS,8,3,UN,4.167
RCLS,8,4,CF,5.556
RCLS,8,4,CG,38.889
RCLS,8,4,CG/PR,0
RCLS,8,4,CG/SC,0
RCLS,8,4,PI,0
RCLS,8,4,PR,2.778
RCLS,8,4,SC,8.333
RCLS,8,4,SH,0
RCLS,8,4,UN,1.389
RCLS,8,5,CF,11.111
RCLS,8,5,CG,65.279
RCLS,8,5,CG/PR,0
RCLS,8,5,CG/SC,0
RCLS,8,5,PI,0
RCLS,8,5,PR,5.556
RCLS,8,5,SC,6.944
RCLS,8,5,SH,0
RCLS,8,5,UN,13.89
RCLS,8,7,CF,29.166
RCLS,8,7,CG,41.667
RCLS,8,7,CG/PR,2.778
RCLS,8,7,CG/SC,0
RCLS,8,7,PI,0
RCLS,8,7,PR,6.945
RCLS,8,7,SC,9.722
RCLS,8,7,SH,1.389
RCLS,8,7,UN,6.945
CLS,1,1,CF,13.501
CLS,1,1,CG,2119.712
CLS,1,1,CG/PR,9.001
CLS,1,1,CG/SC,0
CLS,1,1,PI,0
CLS,1,1,PR,4.5
CLS,1,1,SC,13.501
CLS,1,1,SH,265.526
CLS,1,1,UN,0
CLS,1,3,CF,0
CLS,1,3,CG,1440.144
CLS,1,3,CG/PR,0
CLS,1,3,CG/SC,0
CLS,1,3,PI,0
CLS,1,3,PR,4.5
CLS,1,3,SC,13.501
CLS,1,3,SH,36.003
CLS,1,3,UN,63.006
CLS,2,1,CF,31.503
CLS,2,1,CG,171.017
CLS,2,1,CG/PR,0
CLS,2,1,CG/SC,0
CLS,2,1,PI,0
CLS,2,1,PR,0
CLS,2,1,SC,0
CLS,2,1,SH,0
CLS,2,1,UN,45.005
CLS,2,3,CF,99.01
CLS,2,3,CG,666.067
CLS,2,3,CG/PR,0
CLS,2,3,CG/SC,0
CLS,2,3,PI,0
CLS,2,3,PR,4.5
CLS,2,3,SC,0
CLS,2,3,SH,9.001
CLS,2,3,UN,18.002
CLS,3,1,CF,1849.685
CLS,3,1,CG,247.524
CLS,3,1,CG/PR,49.505
CLS,3,1,CG/SC,0
CLS,3,1,PI,144.014
CLS,3,1,PR,0
CLS,3,1,SC,0
CLS,3,1,SH,81.008
CLS,3,1,UN,18.002
CLS,3,2,CF,648.066
CLS,3,2,CG,256.526
CLS,3,2,CG/PR,36.004
CLS,3,2,CG/SC,4.5
CLS,3,2,PI,0
CLS,3,2,PR,9.001
CLS,3,2,SC,0
CLS,3,2,SH,45.005
CLS,3,2,UN,4.5
CLS,3,3,CF,1584.158
CLS,3,3,CG,3640.865
CLS,3,3,CG/PR,243.024
CLS,3,3,CG/SC,31.503
CLS,3,3,PI,18.002
CLS,3,3,PR,108.011
CLS,3,3,SC,247.525
CLS,3,3,SH,337.534
CLS,3,3,UN,18.002
CLS,4,1,CF,1111.611
CLS,4,1,CG,787.579
CLS,4,1,CG/PR,18.002
CLS,4,1,CG/SC,0
CLS,4,1,PI,0
CLS,4,1,PR,22.502
CLS,4,1,SC,0
CLS,4,1,SH,13.501
CLS,4,1,UN,4.5
CLS,4,2,CF,58.506
CLS,4,2,CG,1777.677
CLS,4,2,CG/PR,49.505
CLS,4,2,CG/SC,18.002
CLS,4,2,PI,4.5
CLS,4,2,PR,0
CLS,4,2,SC,0
CLS,4,2,SH,72.007
CLS,4,2,UN,13.501
CLS,4,3,CF,49.505
CLS,4,3,CG,1498.65
CLS,4,3,CG/PR,0
CLS,4,3,CG/SC,13.501
CLS,4,3,PI,0
CLS,4,3,PR,13.501
CLS,4,3,SC,0
CLS,4,3,SH,58.505
CLS,4,3,UN,13.501
CLS,5,1,CF,310.53
CLS,5,1,CG,666.067
CLS,5,1,CG/PR,0
CLS,5,1,CG/SC,27.003
CLS,5,1,PI,0
CLS,5,1,PR,9.001
CLS,5,1,SC,0
CLS,5,1,SH,36.003
CLS,5,1,UN,27.003
ELS,2,1,CF,9.001
ELS,2,1,CG,274.527
ELS,2,1,CG/PR,0
ELS,2,1,CG/SC,0
ELS,2,1,PI,0
ELS,2,1,PR,0
ELS,2,1,SC,0
ELS,2,1,SH,13.501
ELS,2,1,UN,49.505
ELS,2,2,CF,0
ELS,2,2,CG,522.052
ELS,2,2,CG/PR,0
ELS,2,2,CG/SC,0
ELS,2,2,PI,0
ELS,2,2,PR,4.5
ELS,2,2,SC,0
ELS,2,2,SH,13.501
ELS,2,2,UN,0
ELS,2,3,CF,9.001
ELS,2,3,CG,859.586
ELS,2,3,CG/PR,0
